DOMAIN,LAST_UPDATE_TIMESTAMP,IPS
autodiscover.velisgroup.com,1564117292,162.144.12.11
atozexec.55uk.net,1564116964,192.185.72.123
adsl-63-204-25-27.dsl.snfc21.pacbell.net,1564115042,63.204.25.27
adsl-074-185-108-146.sip.bna.bellsouth.net,1564114979,74.185.108.146
adsl-074-185-113-246.sip.bna.bellsouth.net,1564115113,74.185.113.246
autodiscover.venueoneast.com,1564117467,157.238.139.21
adsl-63-204-87-25.dsl.sktn01.pacbell.net,1564115176,63.204.87.25
atp3504.sgp.hp.com,1564116979,15.85.42.248
alexisjmerry.com,1564116162,184.168.221.40
acd03854.ipt.aol.com,1548431526,172.208.56.84
alexjpayne.com,1564116278,198.185.159.144 198.185.159.145 198.49.23.144 198.49.23.145
aca07b88.ipt.aol.com,1548431755,172.160.123.136
adsl-68-23-192-227.dsl.spfdil.ameritech.net,1561091225,68.23.192.227
atreply.com,1564117035,107.20.131.163
ahfmyanmar.org,1564115998,184.168.131.241
abcressey.com,1564114579,184.168.131.241
asiakawaii.net,1564116856,119.245.243.94
ahhoz.pt6588.com,1554482533,173.214.32.93
adsl-98-94-162-185.ard.bellsouth.net,1564115392,98.94.162.185
adsl-98-94-182-210.ard.bellsouth.net,1564115385,98.94.182.210
adsl-68-250-11-64.dsl.sfldmi.ameritech.net,1564115226,68.250.11.64
aca104bf.ipt.aol.com,1547854666,172.161.4.191
a69b2.jimeilouti.com,1564114167,104.221.189.51
aca12258.ipt.aol.com,1548431132,172.161.34.88
a208-98-226-118.sb.shawcable.net,1564113988,208.98.226.118
ahjtyj.com,1564116226,43.243.208.199
adsl-74-227-236-129.mgm.bellsouth.net,1564115387,74.227.236.129
adsl-74-227-31-206.jan.bellsouth.net,1564115310,74.227.31.206
adsl-74-227-47-119.jan.bellsouth.net,1564115212,74.227.47.119
adsl-74-227-52-251.jan.bellsouth.net,1564115343,74.227.52.251
a211-222.adsl.paltel.net,1564114242,213.6.211.222
asiansurfacetechnology.com,1564117014,184.168.131.241
adsl-74-230-136-62.gnv.bellsouth.net,1564115268,74.230.136.62
asiaoutdoor.com,1564117909,217.76.156.252
adsl-074-188-095-056.sip.asm.bellsouth.net,1564115055,74.188.95.56
afandi-apps.com,1561091848,98.137.244.37
adsl-68-254-204-162.dsl.yntwoh.sbcglobal.net,1564115207,68.254.204.162
adsl-074-188-181-064.sip.asm.bellsouth.net,1564115222,74.188.181.64
abejolles.com,1564114387,50.63.202.46
adsl-99-1-140-134.dsl.sbndin.sbcglobal.net,1564115390,99.1.140.134
autodiscover.championconstructionchemicals.com,1564117213,79.143.187.88
autodiscover.charliesyracuse.com,1564117041,50.97.138.50
adsl-74-232-47-107.asm.bellsouth.net,1564115269,74.232.47.107
adsl-074-189-053-220.sip.gsp.bellsouth.net,1564115208,74.189.53.220
aca53cfb.ipt.aol.com,1548431163,172.165.60.251
abelscommunityservices.org,1564116578,216.139.213.144
ahorrosgarantizados.com,1564115870,50.115.19.16
adsl-074-189-118-190.sip.bhm.bellsouth.net,1564114932,74.189.118.190
abenteuerlust.com,1564114593,91.195.240.126
aomenduchangheimingdan.ccsrcenter.com,1564117334,150.242.226.62
adsl-68-74-129-117.dsl.klmzmi.ameritech.net,1564115221,68.74.129.117
aberdeennow.com,1564114372,199.59.242.151
ahqxzn.com,1564115842,23.230.118.134
alfaspectacles.com,1564116166,213.186.33.5
autodiscover.meatperfection.net,1564117165,195.191.149.105
aca5c515.ipt.aol.com,1548431121,172.165.197.21
adsl-74-234-103-204.lft.bellsouth.net,1564115237,74.234.103.204
autodiscover.medyumcandede.com,1564117239,178.210.171.30
autodiscover.u28980.web03.vigbo.com,1547857009,88.99.61.220
adsl-74-234-226-221.cha.bellsouth.net,1564115264,74.234.226.221
a619a.cn.cdn.cloudflare.net,1564114182,104.28.28.254 104.28.29.254
adsl-99-163-96-56.dsl.hstntx.sbcglobal.net,1564115324,99.163.96.56
adsl-99-164-82-218.dsl.wlfrct.sbcglobal.net,1564115536,99.164.82.218
autodiscover.u51208.web04.vigbo.com,1547856757,78.46.45.227
autodiscover.mendilci.com,1564117344,95.173.186.118
adsl-074-229-077-192.sip.asm.bellsouth.net,1564115131,74.229.77.192
aca65c97.ipt.aol.com,1548431072,172.166.92.151
adsl-074-229-084-029.sip.asm.bellsouth.net,1564115565,74.229.84.29
adsl-74-235-166-113.clt.bellsouth.net,1564115331,74.235.166.113
autodiscover.claireelisern.com,1564117038,162.241.224.14
adsl-68-88-68-34.dsl.rcsntx.swbell.net,1564115421,68.88.68.34
autodiscover.meshkincity.org,1564117145,213.229.101.106
adsl-99-167-248-49.dsl.chcgil.sbcglobal.net,1564115499,99.167.248.49
ai-callcenters.com,1564115871,35.186.238.101
anahatcrafts.com,1564116427,103.211.216.80
autodiscover.metrpiva.com,1564117247,192.185.72.212
anahitasriprasad.com,1564116480,184.168.221.37
admin.advanced-impressionsinc.com,1550246124,198.58.118.167 45.33.2.79 45.33.23.183 45.56.79.23 45.79.19.196 96.126.123.244
atxdmc.net,1564117017,50.63.202.44
admin.alisraacollege.com,1551455473,162.210.196.168
autodiscover.micainsulation.org,1564117096,72.52.138.76
amandawheelerrealestate.com,1564116730,50.63.202.88 50.63.202.95
adsl-68-92-39-65.dsl.hstntx.swbell.net,1564115199,68.92.39.65
adsl-99-170-13-39.dsl.pltn13.sbcglobal.net,1564115626,99.170.13.39
affinityhearing.com,1564115459,198.185.159.144 198.185.159.145 198.49.23.144 198.49.23.145
affinitypaintinganddecorating.com,1564115711,184.154.242.149
acd1999f.ipt.aol.com,1547854723,172.209.153.159
aca733a9.ipt.aol.com,1548431107,172.167.51.169
adsl-098-069-016-077.sip.mcn.bellsouth.net,1564115090,98.69.16.77
alhabtoorequestrianandpoloclub.com,1564116389,50.63.202.41
amaralense.com,1564116445,192.64.119.152
amaraoilsph.com,1564116595,23.236.62.147
adsl-64-149-95-226.dsl.ipltin.sbcglobal.net,1564115312,64.149.95.226
acd1f55e.ipt.aol.com,1548431241,172.209.245.94
affordabledesks.com,1564115486,104.31.72.123 104.31.73.123
aomenyinhedajiudian.tiandihuayi.com,1564116480,154.88.83.252
adsl-74-251-101-138.jax.bellsouth.net,1564115328,74.251.101.138
adsl-74-251-119-140.jax.bellsouth.net,1564115364,74.251.119.140
adsl-99-174-159-55.dsl.scrm01.sbcglobal.net,1564115410,99.174.159.55
adsl-74-251-59-16.jan.bellsouth.net,1564115513,74.251.59.16
ardeniagolf.com,1551457429,109.68.33.64
amarisdesign.com,1564116410,138.197.97.21
adsl-098-072-170-027.sip.bct.bellsouth.net,1564115184,98.72.170.27
aca7d5ad.ipt.aol.com,1548431109,172.167.213.173
